bill_id,title,is_act,current_stage,introduced_date,url,matched_term
3420,Affordable Housing (Conversion of Commercial Property) Bill,False,1st reading,,https://bills.parliament.uk/bills/3420,housing
3655,Affordable Housing (Conversion of Commercial Property) Bill,False,2nd reading,,https://bills.parliament.uk/bills/3655,housing
1496,Affordable Housing Contributions (Ten Unit Threshold) Bill,False,2nd reading,,https://bills.parliament.uk/bills/1496,housing
3495,Automated External Defibrillators (Housing Developments) Bill,False,1st reading,,https://bills.parliament.uk/bills/3495,housing
1492,Business of the House Commission Bill,False,2nd reading,,https://bills.parliament.uk/bills/1492,housing
2157,Business of the House Commission Bill,False,2nd reading,,https://bills.parliament.uk/bills/2157,housing
2960,Business of the House Commission Bill,False,2nd reading,,https://bills.parliament.uk/bills/2960,housing
3244,Business of the House Commission Bill,False,1st reading,,https://bills.parliament.uk/bills/3244,housing
1505,Carers Bedroom Entitlement (Social Housing Sector) Bill,False,2nd reading,,https://bills.parliament.uk/bills/1505,housing
1109,Consolidation of Housing Regulations Bill,False,2nd reading,,https://bills.parliament.uk/bills/1109,housing
895,Co-Operative Housing Tenure Bill,False,2nd reading,,https://bills.parliament.uk/bills/895,housing
3959,Co-operative Housing Tenure Bill,False,2nd reading,,https://bills.parliament.uk/bills/3959,housing
135,Council Housing (Direct Investment) Bill,False,2nd reading,,https://bills.parliament.uk/bills/135,housing
804,Council Housing (Local Financing Pathfinders) Bill,False,2nd reading,,https://bills.parliament.uk/bills/804,housing
1134,Energy Efficiency (Houses in Multiple Occupation) Bill,False,2nd reading,,https://bills.parliament.uk/bills/1134,housing
1002,Extension of Franchise (House of Lords) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/1002,housing
1172,Extension of Franchise (House of Lords) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/1172,housing
1815,Extension of Franchise (House of Lords) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/1815,housing
2029,Extension of Franchise (House of Lords) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/2029,housing
2529,Extension of Franchise (House of Lords) Bill [HL],False,Committee stage,,https://bills.parliament.uk/bills/2529,housing
2311,"Gypsy and Traveller Communities (Housing, Planning and Education) Bill",False,2nd reading,,https://bills.parliament.uk/bills/2311,housing
3714,Heritage Public Houses Bill,False,2nd reading,,https://bills.parliament.uk/bills/3714,housing
3834,Heritage Public Houses Bill,False,2nd reading,,https://bills.parliament.uk/bills/3834,housing
111,House of Commons (Participation) Bill,False,2nd reading,,https://bills.parliament.uk/bills/111,housing
2377,House of Commons (Precedence of Government Business) (European Union (Withdrawal) Act 2018) Bill,False,2nd reading,,https://bills.parliament.uk/bills/2377,housing
3814,Agricultural Land (Planning) Bill,False,2nd reading,,https://bills.parliament.uk/bills/3814,planning
282,Allotments (Planning) Bill,False,2nd reading,,https://bills.parliament.uk/bills/282,planning
2753,Business and Planning Act 2020,True,Royal Assent,,https://bills.parliament.uk/bills/2753,planning
2456,Compulsory Purchase and Planning Bill,False,2nd reading,,https://bills.parliament.uk/bills/2456,planning
1600,Direct Planning (Pilot) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/1600,planning
2427,Domestic Energy Efficiency Plan Bill,False,2nd reading,,https://bills.parliament.uk/bills/2427,planning
2492,Duty to Plan for Terrorism (Consultation) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/2492,planning
2607,Duty to Plan for Terrorism (Consultation) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/2607,planning
966,Energy Generation (Planning and Right to Invest) Bill,False,2nd reading,,https://bills.parliament.uk/bills/966,planning
3548,"High Streets (Designation, Review and Improvement Plan) Bill",False,2nd reading,,https://bills.parliament.uk/bills/3548,planning
1700,Housing and Planning Act 2016,True,Royal Assent,,https://bills.parliament.uk/bills/1700,planning
2225,Housing and Planning (Local Decision-Making) Bill,False,2nd reading,,https://bills.parliament.uk/bills/2225,planning
4120,Local Area Energy Plans Bill,False,2nd reading,,https://bills.parliament.uk/bills/4120,planning
583,Local Government (Infrastructure Requirement Plans) Bill,False,2nd reading,,https://bills.parliament.uk/bills/583,planning
1538,Local Government (Planning Permission and Referendums) Bill,False,2nd reading,,https://bills.parliament.uk/bills/1538,planning
1530,Local Planning and Housing Bill,False,2nd reading,,https://bills.parliament.uk/bills/1530,planning
58,Local Planning Authorities (Energy and Energy Efficiency) Bill,False,2nd reading,,https://bills.parliament.uk/bills/58,planning
527,Local Planning Authorities (Protection of Local Services) Bill,False,2nd reading,,https://bills.parliament.uk/bills/527,planning
4132,Local Plans (Burial Space) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/4132,planning
1073,Local Services (Planning) Bill,False,2nd reading,,https://bills.parliament.uk/bills/1073,planning
1370,National Planning Policy Framework (Community Involvement) Bill,False,2nd reading,,https://bills.parliament.uk/bills/1370,planning
1889,Neighbourhood Planning Act 2017,True,Royal Assent,,https://bills.parliament.uk/bills/1889,planning
1744,Northern Ireland (Stormont Agreement and Implementation Plan) Act 2016,True,Royal Assent,,https://bills.parliament.uk/bills/1744,planning
200,Planning Act 2008,True,Royal Assent,,https://bills.parliament.uk/bills/200,planning
3462,Renters (Reform) Bill,False,2nd reading,,https://bills.parliament.uk/bills/3462,renters
3764,Renters’ Rights Act 2025,True,Royal Assent,,https://bills.parliament.uk/bills/3764,renters
1781,Renters’ Rights Bill [HL],False,Committee stage,,https://bills.parliament.uk/bills/1781,renters
2320,Fire Safety (Leasehold Properties) Bill,False,2nd reading,,https://bills.parliament.uk/bills/2320,leasehold
2431,Ground Rents (Leasehold Properties) Bill,False,2nd reading,,https://bills.parliament.uk/bills/2431,leasehold
3523,Leasehold and Freehold Reform Act 2024,True,Royal Assent,,https://bills.parliament.uk/bills/3523,leasehold
46,Leasehold Information Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/46,leasehold
236,Leasehold Reform Bill,False,2nd reading,,https://bills.parliament.uk/bills/236,leasehold
2173,Leasehold Reform Bill,False,2nd reading,,https://bills.parliament.uk/bills/2173,leasehold
1235,Leasehold Reform (Amendment) Act,True,Royal Assent,,https://bills.parliament.uk/bills/1235,leasehold
3321,Leasehold Reform (Disclosure and Insurance Commissions) Bill [HL],False,1st reading,,https://bills.parliament.uk/bills/3321,leasehold
3387,Leasehold Reform (Forfeiture) Bill [HL],False,1st reading,,https://bills.parliament.uk/bills/3387,leasehold
2864,Leasehold Reform (Ground Rent) Act 2022,True,Royal Assent,,https://bills.parliament.uk/bills/2864,leasehold
3319,Leasehold Reform (Reasonableness of Service Charges) Bill [HL],False,1st reading,,https://bills.parliament.uk/bills/3319,leasehold
3337,Leasehold Reform (Tribunal Judgments and Legal Costs) Bill [HL],False,1st reading,,https://bills.parliament.uk/bills/3337,leasehold
4143,Leaseholder Remediation (Building Safety) Bill [HL],False,2nd reading,,https://bills.parliament.uk/bills/4143,leasehold
407,Leaseholders Rights Bill,False,2nd reading,,https://bills.parliament.uk/bills/407,leasehold
3992,Right to Manage and Leasehold Bill,False,2nd reading,,https://bills.parliament.uk/bills/3992,leasehold
2464,Telecommunications Infrastructure (Leasehold Property) Bill,False,2nd reading,,https://bills.parliament.uk/bills/2464,leasehold
2520,Telecommunications Infrastructure (Leasehold Property) Act 2021,True,Royal Assent,,https://bills.parliament.uk/bills/2520,leasehold
3021,Building Safety Act 2022,True,Royal Assent,,https://bills.parliament.uk/bills/3021,building safety
3024,Fire and Building Safety (Public Inquiry) Bill,False,2nd reading,,https://bills.parliament.uk/bills/3024,building safety
2209,Homelessness (End of Life Care) Bill,False,2nd reading,,https://bills.parliament.uk/bills/2209,homelessness
3801,Homelessness Prevention Bill,False,Committee stage,,https://bills.parliament.uk/bills/3801,homelessness
1838,Homelessness Reduction Act 2017,True,Royal Assent,,https://bills.parliament.uk/bills/1838,homelessness
2840,Housing and Homelessness (Local Accommodation Duty) Bill,False,2nd reading,,https://bills.parliament.uk/bills/2840,homelessness
